Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State, 11-9111, Medical and Health Services Managers,25830,145800,125480,83230,177090
1,36,New York State, 11-9121, Natural Sciences Managers,1360,151340,126970,84520,184750
1,36,New York State, 11-9131,Postmasters and Mail Superintendents,830,80160,78690,68410,86030
1,36,New York State, 11-9141,"Property, Real Estate, and Community Association Managers",8650,114760,92520,66430,138920
1,36,New York State, 11-9151, Social and Community Service Managers,13110,88370,83140,57050,104040
1,36,New York State, 11-9161, Emergency Management Directors,680,101890,90010,62920,121380
1,36,New York State, 11-9199," Managers, All Other",16600,126560,112040,64120,157780
1,36,New York State, 13-0000,Business and Financial Operations Occupations,571050,96570,80880,50160,119780
1,36,New York State, 13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",3460,102510,79250,42970,132280
1,36,New York State, 13-1020,Buyers and Purchasing Agents,21460,74190,69530,46750,87910
1,36,New York State, 13-1031," Claims Adjusters, Examiners, and Investigators",18510,73340,71460,48450,85780
1,36,New York State, 13-1032," Insurance Appraisers, Auto Damage",670,70800,65860,54000,79200
1,36,New York State, 13-1041, Compliance Officers,21370,77850,74020,49220,92160
1,36,New York State, 13-1051, Cost Estimators,10150,77190,68710,45150,93220
1,36,New York State, 13-1071, Human Resources Specialists,41300,77120,68230,46130,92610
1,36,New York State, 13-1075, Labor Relations Specialists,7890,87530,77400,50330,106130
1,36,New York State, 13-1081, Logisticians,3430,77720,73510,52790,90180
1,36,New York State, 13-1111, Management Analysts,47580,113190,96810,59890,139840
1,36,New York State, 13-1121," Meeting, Convention, and Event Planners",10340,69300,61680,40100,83910
1,36,New York State, 13-1131, Fundraisers,7110,69790,63880,43390,82980
1,36,New York State, 13-1141,"Compensation, Benefits, and Job Analysis Specialists",8810,78160,74710,51940,91270
1,36,New York State, 13-1151, Training and Development Specialists,23500,71260,65840,39770,87010
1,36,New York State, 13-1161,Market Research Analysts and Marketing Specialists,63520,78730,72840,44910,95640
1,36,New York State, 13-1199," Business Operations Specialists, All Other",31370,84950,77310,48540,103150
1,36,New York State, 13-2011, Accountants and Auditors,110780,98170,84860,56570,118970
1,36,New York State, 13-2021, Appraisers and Assessors of Real Estate,2960,64320,60100,39900,76530
1,36,New York State, 13-2031, Budget Analysts,3150,80060,76720,56660,91760
1,36,New York State, 13-2041, Credit Analysts,7440,121490,104600,61250,151610
1,36,New York State, 13-2051, Financial Analysts,53250,139930,109230,73020,173390
1,36,New York State, 13-2052, Personal Financial Advisors,26710,167440,139480,65590,218370
1,36,New York State, 13-2053, Insurance Underwriters,8430,94610,79940,52050,115890
1,36,New York State, 13-2061, Financial Examiners,9030,118230,103410,67630,143530
1,36,New York State, 13-2071, Credit Counselors,2560,61700,55780,41020,72040
1,36,New York State, 13-2072, Loan Officers,12890,105460,80040,43950,136210
1,36,New York State, 13-2081," Tax Examiners and Collectors, and Revenue Agents",4830,71930,65850,49430,83170
1,36,New York State, 13-2099," Financial Specialists, All Other",4450,98350,83380,53470,120780
1,36,New York State, 15-0000,Computer and Mathematical Occupations,264620,99010,91630,55710,120660
1,36,New York State, 15-1111, Computer and Information Research Scientists,1430,133500,127270,89340,155580
1,36,New York State, 15-1121, Computer Systems Analysts,44030,108170,98500,66050,129240
1,36,New York State, 15-1122, Information Security Analysts,6930,124120,115620,72870,149750
1,36,New York State, 15-1131, Computer Programmers,15380,92840,86940,56750,110890
1,36,New York State, 15-1132," Software Developers, Applications",52640,118870,113910,76150,140220
1,36,New York State, 15-1133," Software Developers, Systems Software",19690,117130,113260,74590,138400
1,36,New York State, 15-1134, Web Developers,12030,81270,72980,46520,98650
1,36,New York State, 15-1141, Database Administrators,7100,100730,96100,60890,120650
1,36,New York State, 15-1142, Network and Computer Systems Administrators,25940,96590,91670,61970,113900
1,36,New York State, 15-1143, Computer Network Architects,8660,115270,113210,63770,141020
1,36,New York State, 15-1151, Computer User Support Specialists,45190,61210,56980,38940,72340
1,36,New York State, 15-1152, Computer Network Support Specialists,12930,80580,75830,49290,96220
1,36,New York State, 15-1199," Computer Occupations, All Other",n/a,92330,92000,57380,109800
1,36,New York State, 15-2011, Actuaries,2320,153580,133790,79440,190660
1,36,New York State, 15-2021, Mathematicians,n/a,86140,83460,60030,99200
1,36,New York State, 15-2031, Operations Research Analysts,5790,104350,93920,60930,126050
1,36,New York State, 15-2041, Statisticians,1120,97540,92070,63710,114450
1,36,New York State, 15-2090,Miscellaneous Mathematical Science Occupations,n/a,164770,179300,63390,215460
1,36,New York State, 17-0000,Architecture and Engineering Occupations,112120,91120,82570,55150,109100
1,36,New York State, 17-1011," Architects, Except Landscape and Naval",11620,111430,93850,65230,134530
1,36,New York State, 17-1012, Landscape Architects,1540,83950,78080,54560,98640
1,36,New York State, 17-1021, Cartographers and Photogrammetrists,n/a,80150,79840,48890,95780
1,36,New York State, 17-1022, Surveyors,1800,79020,71310,49230,93910
1,36,New York State, 17-2011, Aerospace Engineers,320,117430,119510,80170,136060
1,36,New York State, 17-2031, Biomedical Engineers,440,103220,91170,66080,121790
1,36,New York State, 17-2041,Chemical Engineers,860,102130,99220,71570,117410
1,36,New York State, 17-2051, Civil Engineers,16790,104030,94420,66260,122920
1,36,New York State, 17-2061, Computer Hardware Engineers,1230,116580,115670,75150,137290
1,36,New York State, 17-2071, Electrical Engineers,10500,105540,101140,69570,123530
1,36,New York State, 17-2072," Electronics Engineers, Except Computer",3630,99850,94850,67170,116190
1,36,New York State, 17-2081, Environmental Engineers,3100,92040,84810,61140,107490
1,36,New York State, 17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1830,97190,93220,63410,114090
1,36,New York State, 17-2112, Industrial Engineers,12030,96350,88420,63500,112770
1,36,New York State, 17-2121, Marine Engineers and Naval Architects,270,122960,107650,75480,146700
1,36,New York State, 17-2131, Materials Engineers,1020,102640,99870,68730,119590
1,36,New York State, 17-2141, Mechanical Engineers,11280,93420,88990,64610,107830
1,36,New York State, 17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",n/a,91820,84430,71870,101790
1,36,New York State, 17-2161, Nuclear Engineers,410,114360,113950,83420,129830
1,36,New York State, 17-2171, Petroleum Engineers,n/a,129350,110040,72980,157530
1,36,New York State, 17-2199," Engineers, All Other",4910,96930,94170,61500,114640
1,36,New York State, 17-3011, Architectural and Civil Drafters,5730,60810,59250,42650,69890
1,36,New York State, 17-3012, Electrical and Electronics Drafters,1380,70710,69140,41850,85150
1,36,New York State, 17-3013, Mechanical Drafters,2780,58790,57450,39390,68490
1,36,New York State, 17-3019," Drafters, All Other",770,63650,60540,42010,74470
1,36,New York State, 17-3021, Aerospace Engineering and Operations Technicians,n/a,76380,73740,50990,89070
1,36,New York State, 17-3022, Civil Engineering Technicians,2010,62090,61310,42560,71850
1,36,New York State, 17-3023, Electrical and Electronic Engineering Technicians,6060,66440,65900,42500,78410
1,36,New York State, 17-3024, Electro-Mechanical Technicians,n/a,68610,65310,45690,80070
1,36,New York State, 17-3025, Environmental Engineering Technicians,640,59020,57420,35810,70620
1,36,New York State, 17-3026, Industrial Engineering Technicians,3150,58190,57130,40100,67240
1,36,New York State, 17-3027, Mechanical Engineering Technicians,1310,61040,58630,38890,72110
1,36,New York State, 17-3029,"Engineering Technicians, Except Drafters, All Other",2200,64890,63570,44420,75120
1,36,New York State, 17-3031, Surveying and Mapping Technicians,1820,53390,50460,35790,62190
1,36,New York State, 19-0000,"Life, Physical, and Social Science Occupations",67740,77600,67840,41290,95750
1,36,New York State, 19-1011, Animal Scientists,n/a,63220,60040,49010,70320
1,36,New York State, 19-1012, Food Scientists and Technologists,480,62700,54700,40570,73770
1,36,New York State, 19-1013, Soil and Plant Scientists,n/a,84990,63850,42930,106020
1,36,New York State, 19-1022, Microbiologists,680,81900,72520,52510,96590
1,36,New York State, 19-1023, Zoologists and Wildlife Biologists,370,76600,73550,53450,88170
1,36,New York State, 19-1029," Biological Scientists, All Other",690,90550,89960,61820,104920
1,36,New York State, 19-1032, Foresters,250,66760,63490,53090,73590
1,36,New York State, 19-1041, Epidemiologists,n/a,93480,83220,63490,108470
1,36,New York State, 19-1042," Medical Scientists, Except Epidemiologists",9500,96830,80280,52990,118750
1,36,New York State, 19-1099," Life Scientists, All Other",n/a,79320,71350,51690,93140
1,36,New York State, 19-2012, Physicists,950,141330,128930,67590,178200
1,36,New York State, 19-2021, Atmospheric and Space Scientists,460,91400,85990,45270,114470
1,36,New York State, 19-2031, Chemists,3360,87080,78090,51460,104890
1,36,New York State, 19-2032, Materials Scientists,330,103080,109660,53090,128080
1,36,New York State, 19-2041,"Environmental Scientists and Specialists, Including Health",4400,80730,74880,50630,95770
1,36,New York State, 19-2042,"Geoscientists, Except Hydrologists and Geographers",700,77690,72280,53770,89650
1,36,New York State, 19-2043, Hydrologists,n/a,76870,71800,50100,90260
1,36,New York State, 19-2099," Physical Scientists, All Other",900,105780,99050,70710,123310
1,36,New York State, 19-3011, Economists,750,129740,103510,66130,161540
1,36,New York State, 19-3022, Survey Researchers,710,75420,76060,45580,90330
1,36,New York State, 19-3031," Clinical, Counseling, and School Psychologists",11370,95780,90260,59010,114160
1,36,New York State, 19-3039," Psychologists, All Other",480,101370,105430,56820,123650
1,36,New York State, 19-3041, Sociologists,n/a,77120,63770,43660,93850
1,36,New York State, 19-3051, Urban and Regional Planners,1410,78070,74480,54030,90080
1,36,New York State, 19-3091, Anthropologists and Archeologists,n/a,69040,63950,44240,81450
1,36,New York State, 19-3092, Geographers,n/a,76870,75790,47200,91700
1,36,New York State, 19-3093, Historians,400,33210,29420,27860,35880
1,36,New York State, 19-3094, Political Scientists,n/a,124570,126790,84940,144380
1,36,New York State, 19-3099," Social Scientists and Related Workers, All Other",2410,86420,83890,55150,102050
1,36,New York State, 19-4011, Agricultural and Food Science Technicians,1040,52850,49250,33820,62360
1,36,New York State, 19-4021, Biological Technicians,3460,50040,47800,34010,58050
1,36,New York State, 19-4031, Chemical Technicians,2790,53920,49920,33730,64010
1,36,New York State, 19-4041, Geological and Petroleum Technicians,n/a,55880,45510,33760,66940
1,36,New York State, 19-4051, Nuclear Technicians,330,97610,97880,69590,111610
1,36,New York State, 19-4061, Social Science Research Assistants,6290,49860,45000,27280,61150
1,36,New York State, 19-4091,"Environmental Science and Protection Technicians, Including Health",2400,53730,50100,34490,63350
1,36,New York State, 19-4092, Forensic Science Technicians,840,67810,64900,53570,74930
1,36,New York State, 19-4093, Forest and Conservation Technicians,390,42800,38270,30790,48800
1,36,New York State, 19-4099,"Life, Physical, and Social Science Technicians, All Other",6930,54310,50920,32970,64980
1,36,New York State, 21-0000,Community and Social Service Occupations,191680,54550,49640,31690,65980
1,36,New York State, 21-1012,"Educational, Guidance, School, and Vocational Counselors",24940,69110,62870,39490,83920
1,36,New York State, 21-1013, Marriage and Family Therapists,970,50280,52340,35380,57720
1,36,New York State, 21-1015, Rehabilitation Counselors,9720,36670,33620,25370,42310
1,36,New York State, 21-1018,"Substance abuse, behavioral disorder, and mental health counselors?(OES-specific code and title)",14610,52270,47840,32620,62090
1,36,New York State, 21-1019," Counselors, All Other",450,52210,48290,31460,62580
1,36,New York State, 21-1021," Child, Family, and School Social Workers",28530,59060,53770,37490,69840
1,36,New York State, 21-1022, Healthcare Social Workers,13290,63360,61970,42290,73900
1,36,New York State, 21-1023, Mental Health and Substance Abuse Social Workers,11470,63220,60280,41480,74080
1,36,New York State, 21-1029,"Social Workers, All Other",5790,68290,69130,49690,77590
1,36,New York State, 21-1091, Health Educators,4640,58000,54920,38180,67920
1,36,New York State, 21-1092,Probation Officers and Correctional Treatment Specialists,4770,71920,71850,52480,81650
1,36,New York State, 21-1093, Social and Human Service Assistants,37340,37830,35630,26590,43450
1,36,New York State, 21-1094, Community Health Workers,6590,45110,40410,31140,52090
1,36,New York State, 21-1099,"Community and Social Service Specialists, All Other",15510,57090,52750,41870,64700
1,36,New York State, 21-2011, Clergy,7320,58560,50570,29050,73310
1,36,New York State, 21-2021," Directors, Religious Activities and Education",4960,46130,40610,24120,57130
1,36,New York State, 21-2099," Religious Workers, All Other",790,36390,26550,23150,43010
1,36,New York State, 23-0000,Legal Occupations,114010,138510,108230,54770,180380
1,36,New York State, 23-1011, Lawyers,76840,170020,146660,75850,217110
1,36,New York State, 23-1012, Judicial Law Clerks,700,123220,133860,87800,140920
1,36,New York State, 23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1390,108350,105010,84720,120160
1,36,New York State, 23-1022," Arbitrators, Mediators, and Conciliators",410,87400,90060,53830,104190
1,36,New York State, 23-1023," Judges, Magistrate Judges, and Magistrates",3170,161740,166200,135450,174880
1,36,New York State, 23-2011, Paralegals and Legal Assistants,25500,59780,55350,39190,70070
1,36,New York State, 23-2091, Court Reporters,1430,91610,102400,56100,109360
1,36,New York State, 23-2093," Title Examiners, Abstractors, and Searchers",2140,61550,60080,40140,72260
1,36,New York State, 23-2099," Legal Support Workers, All Other",2440,63850,57620,38150,76700
1,36,New York State, 25-0000,"Education, Training, and Library Occupations",690330,71480,61020,30920,91760
1,36,New York State, 25-1011," Business Teachers, Postsecondary",8910,112420,86630,47580,144850
1,36,New York State, 25-1021," Computer Science Teachers, Postsecondary",3030,107700,89720,53740,134680
1,36,New York State, 25-1022," Mathematical Science Teachers, Postsecondary",4700,106900,89500,52000,134340
1,36,New York State, 25-1031," Architecture Teachers, Postsecondary",970,137540,121850,67590,172520
1,36,New York State, 25-1032," Engineering Teachers, Postsecondary",2900,129220,113350,71260,158200
1,36,New York State, 25-1041," Agricultural Sciences Teachers, Postsecondary",390,101660,91640,54040,125460
1,36,New York State, 25-1042," Biological Science Teachers, Postsecondary",4590,104590,88300,51620,131070
1,36,New York State, 25-1043,"Forestry and Conservation Science Teachers, Postsecondary",n/a,82870,74920,51050,98780
1,36,New York State, 25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",880,109910,99090,60110,134800
1,36,New York State, 25-1052," Chemistry Teachers, Postsecondary",2270,104040,91790,55920,128110
1,36,New York State, 25-1053," Environmental Science Teachers, Postsecondary",820,91730,68560,49280,112960
1,36,New York State, 25-1054," Physics Teachers, Postsecondary",1430,119410,104690,63970,147140
1,36,New York State, 25-1061,"Anthropology and Archeology Teachers, Postsecondary",1080,114420,102720,56860,143190
1,36,New York State, 25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1510,94900,80380,47750,118480
1,36,New York State, 25-1063," Economics Teachers, Postsecondary",1650,131620,112630,61030,166920
1,36,New York State, 25-1064," Geography Teachers, Postsecondary",n/a,91960,79850,54310,110790
1,36,New York State, 25-1065," Political Science Teachers, Postsecondary",1680,127540,104950,55430,163600
1,36,New York State, 25-1066," Psychology Teachers, Postsecondary",4840,101420,85460,50930,126670
1,36,New York State, 25-1067," Sociology Teachers, Postsecondary",1290,91820,80560,47310,114070
1,36,New York State, 25-1069,"Social Sciences Teachers, Postsecondary, All Other",2570,103010,89740,49100,129970
1,36,New York State, 25-1071," Health Specialties Teachers, Postsecondary",22170,129440,107240,59260,164540
1,36,New York State, 25-1072," Nursing Instructors and Teachers, Postsecondary",4380,93500,83410,52730,113890
1,36,New York State, 25-1081," Education Teachers, Postsecondary",5590,90130,77380,44390,112990
1,36,New York State, 25-1082," Library Science Teachers, Postsecondary",450,86080,85300,64130,97060
1,36,New York State, 25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1450,63160,54390,34760,77360
1,36,New York State, 25-1112," Law Teachers, Postsecondary",3440,140390,119400,42680,189240
1,36,New York State, 25-1113," Social Work Teachers, Postsecondary",2760,93270,79500,47760,116030
1,36,New York State, 25-1121," Art, Drama, and Music Teachers, Postsecondary",11530,101600,79880,49210,127800
1,36,New York State, 25-1122," Communications Teachers, Postsecondary",3080,92050,75960,47480,114330
1,36,New York State, 25-1123,"English Language and Literature Teachers, Postsecondary",7700,93780,80540,49470,115940
1,36,New York State, 25-1124,"Foreign Language and Literature Teachers, Postsecondary",3130,89200,73110,48160,109720
1,36,New York State, 25-1125," History Teachers, Postsecondary",2050,94620,81870,49660,117100
1,36,New York State, 25-1126," Philosophy and Religion Teachers, Postsecondary",3530,81890,70140,46010,99820
1,36,New York State, 25-1191, Graduate Teaching Assistants,10220,39190,36310,24390,46590
1,36,New York State, 25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",1320,79520,66300,45630,96460
1,36,New York State, 25-1194," Vocational Education Teachers, Postsecondary",3630,66980,62750,41240,79850
1,36,New York State, 25-1199,"Postsecondary Teachers, All Other",6440,113950,90520,48440,146700
1,36,New York State, 25-2011," Preschool Teachers, Except Special Education",30790,49470,39570,25690,61360
1,36,New York State, 25-2012," Kindergarten Teachers, Except Special Education",6120,80790,74710,46380,98000
1,36,New York State, 25-2021,"Elementary School Teachers, Except Special Education",82590,84460,81150,50310,101530
1,36,New York State, 25-2022,"Middle School Teachers, Except Special and Career/Technical Education",39950,84940,82190,54050,100380
1,36,New York State, 25-2023,"Career/Technical  Education Teachers, Middle School",1360,83640,79580,54340,98290
1,36,New York State, 25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",74830,86790,82700,52940,103710
1,36,New York State, 25-2032,"Career/Technical Education Teachers, Secondary School",4480,77330,74060,51160,90410
1,36,New York State, 25-2051," Special Education Teachers, Preschool",4860,84450,68190,47060,103150
1,36,New York State, 25-2052,"Special Education Teachers, Kindergarten and Elementary School",18790,79190,73840,50650,93470
1,36,New York State, 25-2053," Special Education Teachers, Middle School",10970,84500,80610,57070,98210
1,36,New York State, 25-2054," Special Education Teachers, Secondary School",17410,87830,78740,53920,104780
1,36,New York State, 25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,4530,77040,74170,47690,91710
1,36,New York State, 25-3021, Self-Enrichment Education Teachers,31840,57040,46320,28710,71200
1,36,New York State, 25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",18140,58900,43330,26710,74990
1,36,New York State, 25-3098,Substitute teachers,36700,41060,36290,25990,48600
1,36,New York State, 25-4011, Archivists,1170,57240,51670,35840,67950
1,36,New York State, 25-4012, Curators,1570,75140,67550,45650,89880
1,36,New York State, 25-4013, Museum Technicians and Conservators,1490,57020,55320,35100,67980
1,36,New York State, 25-4021, Librarians,12690,69720,65740,48600,80270
1,36,New York State, 25-4031, Library Technicians,8120,35660,31130,23230,41870
1,36,New York State, 25-9011,Audio-Visual and Multimedia Collections Specialists,550,60180,54650,36850,71850
1,36,New York State, 25-9021, Farm and Home Management Advisors,n/a,46040,44820,39970,49080
1,36,New York State, 25-9031, Instructional Coordinators,14150,72690,65750,44050,87000
1,36,New York State, 25-9041, Teacher Assistants,123960,31870,29600,23430,36100
1,36,New York State, 25-9099,"Education, Training, and Library Workers, All Other",1750,45740,38710,23740,56730
1,36,New York State, 27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",207900,81260,65690,36160,103810
1,36,New York State, 27-1011, Art Directors,8320,126880,110350,72640,154000
1,36,New York State, 27-1012, Craft Artists,n/a,60660,50180,29290,76350
1,36,New York State, 27-1014, Multimedia Artists and Animators,2060,87990,81020,52770,105610
1,36,New York State, 27-1019," Artists and Related Workers, All Other",250,75540,69390,40750,92930
1,36,New York State, 27-1021, Commercial and Industrial Designers,1990,76130,69710,43420,92490
1,36,New York State, 27-1022, Fashion Designers,7550,97500,80490,50120,121190
1,36,New York State, 27-1023, Floral Designers,2020,34110,30700,25150,38590
1,36,New York State, 27-1024, Graphic Designers,21350,65960,60890,38630,79630
1,36,New York State, 27-1025, Interior Designers,4780,67950,63850,42000,80920
1,36,New York State, 27-1026, Merchandise Displayers and Window Trimmers,6660,36830,31420,23840,43320
1,36,New York State, 27-1027, Set and Exhibit Designers,2000,77980,69080,41840,96050
1,36,New York State, 27-1029," Designers, All Other",590,67010,55380,36930,82060
1,36,New York State, 27-2012, Producers and Directors,26110,117620,98270,50180,151340
1,36,New York State, 27-2021, Athletes and Sports Competitors,300,104720,67860,29860,142140
1,36,New York State, 27-2022, Coaches and Scouts,10320,57300,47470,27770,72070
1,36,New York State, 27-2032, Choreographers,n/a,87210,86270,38670,111480
1,36,New York State, 27-2041, Music Directors and Composers,2780,67270,53950,26400,87710
1,36,New York State, 27-3011, Radio and Television Announcers,1690,75510,40410,25360,100590
1,36,New York State, 27-3012, Public Address System and Other Announcers,480,57060,36330,25560,72810
1,36,New York State, 27-3021, Broadcast News Analysts,880,113280,80340,35390,152220
1,36,New York State, 27-3022, Reporters and Correspondents,4540,83360,63220,36460,106800
1,36,New York State, 27-3031, Public Relations Specialists,24510,75290,65770,40140,92860
1,36,New York State, 27-3041, Editors,19140,84520,71420,43150,105210
1,36,New York State, 27-3042, Technical Writers,2460,77710,73620,49510,91810
1,36,New York State, 27-3043, Writers and Authors,7410,87880,74760,46780,108430
1,36,New York State, 27-3091, Interpreters and Translators,3300,70140,65580,41620,84400
1,36,New York State, 27-3099," Media and Communication Workers, All Other",620,57220,51800,28720,71470
1,36,New York State, 27-4011, Audio and Video Equipment Technicians,7780,56100,52750,33020,67630
1,36,New York State, 27-4012, Broadcast Technicians,5590,58460,53500,33130,71120
1,36,New York State, 27-4014, Sound Engineering Technicians,1770,83460,69620,40760,104810
1,36,New York State, 27-4021, Photographers,4090,54080,43970,25450,68390
1,36,New York State, 27-4031,"Camera Operators, Television, Video, and Motion Picture",2270,87930,81970,43960,109920
1,36,New York State, 27-4032, Film and Video Editors,4590,93780,77910,43690,118820
1,36,New York State, 27-4099,"Media and Communication Equipment Workers, All Other",380,79750,68680,36670,101290
1,36,New York State, 29-0000,Healthcare Practitioners and Technical Occupations,545670,92120,78930,46810,114770
1,36,New York State, 29-1011, Chiropractors,1970,85260,80330,66330,94730
1,36,New York State, 29-1021," Dentists, General",8700,167380,135960,111100,195520
1,36,New York State, 29-1022, Oral and Maxillofacial Surgeons,490,253800,,151350,305030
1,36,New York State, 29-1023, Orthodontists,n/a,255260,,,
1,36,New York State, 29-1029," Dentists, All Other Specialists",290,185330,143800,89920,233040
1,36,New York State, 29-1031, Dietitians and Nutritionists,4710,69240,67830,52120,77800
1,36,New York State, 29-1041, Optometrists,2040,126990,124350,88490,146240
1,36,New York State, 29-1051, Pharmacists,20400,123130,126380,91330,139040
1,36,New York State, 29-1061, Anesthesiologists,1500,259950,,,
1,36,New York State, 29-1062, Family and General Practitioners,2230,196260,181360,123080,232850
1,36,New York State, 29-1063," Internists, General",2260,198650,188860,83090,256430
1,36,New York State, 29-1064, Obstetricians and Gynecologists,1200,234260,,116250,293270
1,36,New York State, 29-1065," Pediatricians, General",1820,181790,175590,102700,221330
1,36,New York State, 29-1066, Psychiatrists,3590,212390,199760,110790,263190
1,36,New York State, 29-1067, Surgeons,1710,254990,,,
1,36,New York State, 29-1069," Physicians and Surgeons, All Other",44830,174040,142140,66630,227750
1,36,New York State, 29-1071, Physician Assistants,12060,119030,119090,93860,131620
1,36,New York State, 29-1081, Podiatrists,1140,159700,130230,97890,190600
1,36,New York State, 29-1122, Occupational Therapists,9740,89910,84980,62860,103440
1,36,New York State, 29-1123, Physical Therapists,16660,88990,86580,66850,100060
1,36,New York State, 29-1124, Radiation Therapists,1150,101440,98890,69490,117420
1,36,New York State, 29-1125, Recreational Therapists,1500,56330,54910,40190,64400
1,36,New York State, 29-1126, Respiratory Therapists,5740,76200,76340,60140,84230
1,36,New York State, 29-1127, Speech-Language Pathologists,12750,92400,83600,59740,108720
1,36,New York State, 29-1128, Exercise Physiologists,320,69370,60010,40650,83730
1,36,New York State, 29-1129," Therapists, All Other",660,74170,63130,48450,87020
1,36,New York State, 29-1131, Veterinarians,3240,119860,107400,70440,144560
1,36,New York State, 29-1141, Registered Nurses,182490,87100,86780,61620,99830
1,36,New York State, 29-1151, Nurse Anesthetists,1770,194450,180180,133130,225120
1,36,New York State, 29-1161, Nurse Midwives,450,112070,113890,88720,123750
1,36,New York State, 29-1171, Nurse Practitioners,13710,123070,120610,91240,138990
1,36,New York State, 29-1181, Audiologists,1010,84850,81020,67250,93650
1,36,New York State, 29-1199,"Health Diagnosing and Treating Practitioners, All Other",2700,78750,64870,43920,96160
1,36,New York State, 29-2010,Clinical Laboratory Technologists and Technicians,18050,64030,64920,40060,76020
1,36,New York State, 29-2021, Dental Hygienists,11300,77610,78550,59170,86830
1,36,New York State, 29-2031, Cardiovascular Technologists and Technicians,3280,64800,64280,41910,76250
1,36,New York State, 29-2032, Diagnostic Medical Sonographers,5210,76260,76130,58330,85230
1,36,New York State, 29-2033, Nuclear Medicine Technologists,1040,89090,88510,70020,98620
1,36,New York State, 29-2034, Radiologic Technologists,12780,70460,69760,50070,80650
1,36,New York State, 29-2035, Magnetic Resonance Imaging Technologists,2300,82420,84280,65600,90830
1,36,New York State, 29-2041, Emergency Medical Technicians and Paramedics,17520,44880,41860,29860,52400
1,36,New York State, 29-2051, Dietetic Technicians,1090,42340,42610,31410,47810
1,36,New York State, 29-2052, Pharmacy Technicians,19320,35250,33150,25610,40070
1,36,New York State, 29-2053, Psychiatric Technicians,1550,44870,44350,32890,50860
1,36,New York State, 29-2054, Respiratory Therapy Technicians,n/a,57760,56300,43560,64860
1,36,New York State, 29-2055, Surgical Technologists,5750,56270,54340,40670,64070
1,36,New York State, 29-2056, Veterinary Technologists and Technicians,4810,43940,42320,32530,49650
1,36,New York State, 29-2057, Ophthalmic Medical Technicians,n/a,35480,32510,24550,40940
